Design ; Data Path (ps) ;  Freq (MHz) ;  Cell Area ; Total Area ; Total Power(uW)
CLA ;3628 ; 275.63395810363836000000 ; 1702.883 ; 3168.632 ; 274,64999999999997726263
RCA ;13101 ; 76.33005114113426000000 ; 620.595 ; 1054.994 ; 197,02700000000001523404
Kogge-Stone ;2425 ; 412.37113402061855000000 ; 2776.413 ; 5158.472 ; 365,36099999999998999556
Brent-Kung ;3049 ; 327.97638570022958000000 ; 1785.462 ; 3321.697 ; 282,04099999999999681677
Sklansky ;2830 ; 353.35689045936395000000 ; 2102.016 ; 3908.444 ; 309,05700000000001637090
Ladner-Fischer ;2732 ; 366.03221083455344000000 ; 1868.042 ; 3474.761 ; 288,34500000000002728484
Han-Carlson ;2564 ; 390.01560062402496000000 ; 2102.016 ; 3908.444 ; 307,14300000000002910383
Signal ;13497 ; 74.09053863821589000000 ; 640.614 ; 1078.407 ; 203,67500000000001136868
CSkA8 ;14274 ; 70.05744710662743000000 ; 1030.989 ; 1744.110 ; 231,95900000000000318323
CIA ;8674 ; 115.28706479133041000000 ; 982.192 ; 1633.791 ; 195,71799999999998931344
CSkA4 ;14995 ; 66.68889629876625000000 ; 1030.989 ; 1750.723 ; 243,75199999999998112798
CSLA8888 ;5719 ; 174.85574401119076000000 ; 1385.078 ; 2206.364 ; 287,65000000000003410605
CSLA56678 ;5146 ; 194.32568985619898000000 ; 1476.416 ; 2349.826 ; 305,31700000000000727596
CSLA66668 ;5423 ; 184.39977872026553000000 ; 1445.136 ; 2303.405 ; 300,71199999999998908606
